ESTUDANTE,TURMA,SEMANA,PRESENCA,FALTAS,ATRASOS15,ATRASOS30
Gabriela Lima Alves,B,2,5,3,0,1
Gabriela Lima Alves,B,3,0,9,2,0
Mariana Almeida Lima,B,1,-1,-1,-1,-1
Mariana Almeida Lima,B,2,-1,-1,-1,-1
Mariana Almeida Lima,B,3,0,9,2,0
Letícia Alves Lima,B,1,0,12,0,0
Letícia Alves Lima,B,2,4,5,1,0
Letícia Alves Lima,B,3,0,11,0,0
Ana Carolina Alves Lima,B,1,5,7,0,0
Ana Carolina Alves Lima,B,2,5,5,0,0
Ana Carolina Alves Lima,B,3,0,11,0,0
Leonardo Santos Oliveira,B,1,2,10,0,0
Leonardo Santos Oliveira,B,2,0,10,0,0
Leonardo Santos Oliveira,B,3,1,8,2,0
Mariana Alves Lima,B,1,2,10,0,0
Mariana Alves Lima,B,2,1,8,1,0
Mariana Alves Lima,B,3,1,10,0,0
Matheus Oliveira Santos,B,1,1,10,1,0
Matheus Oliveira Santos,B,2,1,6,1,2
Matheus Oliveira Santos,B,3,4,5,1,1
Larissa Silva Costa,B,1,2,10,0,0
Larissa Silva Costa,B,2,1,9,0,0
Larissa Silva Costa,B,3,0,11,0,0
Lucas Costa Almeida,B,1,3,8,0,1
Lucas Costa Almeida,B,2,4,6,0,0
Lucas Costa Almeida,B,3,11,0,0,0
Marcos Lima Santos,B,1,0,10,2,0
Marcos Lima Santos,B,2,1,8,1,0
Marcos Lima Santos,B,3,0,11,0,0
Bruno Costa Almeida,B,1,0,10,2,0
Bruno Costa Almeida,B,2,2,8,0,0
Bruno Costa Almeida,B,3,0,10,1,0
Isabela Santos Oliveira,B,1,0,11,1,0
Isabela Santos Oliveira,B,2,3,7,0,0
Isabela Santos Oliveira,B,3,2,8,1,0
Lucas Santos Lima,B,1,1,11,0,0
Lucas Santos Lima,B,2,0,9,1,0
Lucas Santos Lima,B,3,8,1,2,0
Renato Costa Santos,B,1,0,9,2,1
Renato Costa Santos,B,2,3,7,0,0
Renato Costa Santos,B,3,4,6,1,0
Gabriel Santos Oliveira,B,1,0,12,0,0
Gabriel Santos Oliveira,B,2,0,10,0,0
Gabriel Santos Oliveira,B,3,0,11,0,0
Juliana Almeida Oliveira,B,1,0,11,1,0
Juliana Almeida Oliveira,B,2,0,9,1,0
Juliana Almeida Oliveira,B,3,11,0,0,0
Bruno Oliveira Rodrigues,B,1,0,11,1,0
Bruno Oliveira Rodrigues,B,2,2,8,0,0
Bruno Oliveira Rodrigues,B,3,2,8,1,0
Carolina Almeida Silva,B,1,2,10,0,0
Carolina Almeida Silva,B,2,2,8,0,0
Carolina Almeida Silva,B,3,2,9,0,0
Leonardo Lima Oliveira,B,1,2,9,1,0
Leonardo Lima Oliveira,B,2,5,5,0,0
Leonardo Lima Oliveira,B,3,3,6,1,1
Vitória Almeida Santos,B,1,7,3,2,0
Vitória Almeida Santos,B,2,10,0,0,0
Vitória Almeida Santos,B,3,3,8,0,0
André Oliveira Santos,B,1,-1,-1,-1,-1
André Oliveira Santos,B,2,-1,-1,-1,-1
André Oliveira Santos,B,3,0,10,1,0
Carolina Costa Oliveira,B,1,0,10,2,0
Carolina Costa Oliveira,B,2,2,8,0,0
Carolina Costa Oliveira,B,3,1,9,1,0
Marcos Oliveira Lima,B,1,0,12,0,0
Marcos Oliveira Lima,B,2,0,10,0,0
Marcos Oliveira Lima,B,3,3,6,1,1
Isabela Oliveira Alves,B,1,0,12,0,0
Isabela Oliveira Alves,B,2,1,8,1,0
Isabela Oliveira Alves,B,3,1,9,1,0
Letícia Almeida Santos,B,1,0,12,0,0
Letícia Almeida Santos,B,2,3,7,0,0
Letícia Almeida Santos,B,3,4,5,1,1
Lucas Santos Oliveira,B,1,2,8,1,0
Lucas Santos Oliveira,B,2,0,9,1,0
Lucas Santos Oliveira,B,3,5,4,2,0
Vitória Santos Alves,B,1,0,11,1,0
Vitória Santos Alves,B,2,10,0,0,0
Vitória Santos Alves,B,3,5,5,0,1
Renan Lima Oliveira,B,1,4,7,0,1
Renan Lima Oliveira,B,2,6,3,0,1
Renan Lima Oliveira,B,3,5,6,0,0
Jéssica Oliveira Almeida,B,1,0,12,0,0
Jéssica Oliveira Almeida,B,2,5,5,0,0
Jéssica Oliveira Almeida,B,3,7,2,1,1
Lucas Nunes Almeida,B,1,0,11,0,1
Lucas Nunes Almeida,B,2,3,6,1,0
Lucas Nunes Almeida,B,3,1,8,2,0
Pedro Henrique Santos Silva,B,1,2,9,1,0
Pedro Henrique Santos Silva,B,2,8,2,0,0
Pedro Henrique Santos Silva,B,3,4,7,0,0
Guilherme Oliveira Lima,B,1,1,9,2,0
Guilherme Oliveira Lima,B,2,0,10,0,0
Guilherme Oliveira Lima,B,3,3,6,1,1
Bruna Almeida Santos,B,1,3,9,0,0
Bruna Almeida Santos,B,2,0,9,1,0
Bruna Almeida Santos,B,3,0,11,0,0
Thiago Santos Oliveira,B,1,2,8,2,0
Thiago Santos Oliveira,B,2,10,0,0,0
Thiago Santos Oliveira,B,3,10,1,0,0
Amanda Almeida Lima,B,1,0,12,0,0
Amanda Almeida Lima,B,2,0,10,0,0
Amanda Almeida Lima,B,3,2,9,0,0
Rafael Oliveira Almeida,B,1,0,11,1,0
Rafael Oliveira Almeida,B,2,3,7,0,0
Rafael Oliveira Almeida,B,3,4,6,1,0
Eduardo Oliveira Lima,B,1,2,9,1,0
Eduardo Oliveira Lima,B,2,6,4,0,0
Eduardo Oliveira Lima,B,3,11,0,0,0
Marina Alves Silva,B,1,4,7,1,0
Marina Alves Silva,B,2,2,6,2,0
Marina Alves Silva,B,3,11,0,0,0
Amanda Oliveira Lima,B,1,4,7,1,0
Amanda Oliveira Lima,B,2,0,9,0,1
Amanda Oliveira Lima,B,3,1,10,0,0
Gustavo Costa Pereira,B,1,1,11,0,0
Gustavo Costa Pereira,B,2,1,9,0,0
Gustavo Costa Pereira,B,3,2,8,1,0
Camila Almeida Santos,B,1,2,10,0,0
Camila Almeida Santos,B,2,0,10,0,0
Camila Almeida Santos,B,3,0,9,2,0
Carolina Alves Oliveira,B,1,-1,-1,-1,-1
Carolina Alves Oliveira,B,2,-1,-1,-1,-1
Carolina Alves Oliveira,B,3,6,3,1,1
Amanda Santos Oliveira,B,1,5,5,1,1
Amanda Santos Oliveira,B,2,7,2,0,1
Amanda Santos Oliveira,B,3,11,0,0,0
